Scheme Name,Address,Tags,Description,1-Bedroom,2-Bedroom,3-Bedroom,Studio,Private Room,Station Info,City
Hawkins & George,"East Tucker Street, Bristol, Bristol, BS1 6EU","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Hawkins & George offers an abundance of places for residents to visit in Bristol while they are not relaxing in their spacious apartments.,1145.0,1570.0,,905.0,,"['Bristol Temple Meads | 0.4 mi', 'Bedminster | 1.0 mi']",Bristol
Canon's Gate,"Anchor Road, Bristol, Bristol, BS1 5BW","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']",Canon's Gate offers residents with family-friendly apartments and convenient transportation to explore the surroundings and experience a variety of leisure activities.,1125.0,1495.0,1845.0,,,"['Bedminster | 0.8 mi', 'Bristol Temple Meads | 0.9 mi']",Bristol
Box Makers Yard,"New Kingsley Road, Bristol, Bristol, BS2 0GJ","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in Bristol, Box Makers Yard is a build-to-rent that offers generous living areas, beneficial amenities and access to public transport.",1160.0,1505.0,2150.0,1040.0,,"['Bristol Temple Meads | 0.3 mi', 'Lawrence Hill | 0.7 mi']",Bristol
Invicta,"Millennium Promenade, Bristol, Bristol, BS1 5SX","['Concierge', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Bristol, Invicta is a build-to-rent that offers attractive, convenient accommodations and beautiful green communal space.",1025.0,1495.0,2250.0,,,"['Bedminster | 0.8 mi', 'Bristol Temple Meads | 1.0 mi']",Bristol
Redcliff Quarter,"14-16 St Thomas Street, Bristol, Bristol, BS1 6WL","['Pet friendly', 'Furnished', 'Concierge', 'Onsite management', 'Parking']","Located in Bristol, Redcliff Quarter is a build-to-rent that offers spacious living areas, good transportation and convenient amenities.",1250.0,1575.0,,,,"['Bristol Temple Meads | 0.4 mi', 'Bedminster | 0.8 mi']",Bristol
Chapel Wharf,"95 Chapel St, Salford, Manchester, M3 5LH","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Chapel Wharf offers residents a free way to live through the high class furnished apartments and some exclusive perks around the city.,920.0,1150.0,,850.0,,"['Salford Central | 0.2 mi', 'Manchester Victoria | 0.5 mi']",Manchester
Clippers Quay,"Salford M50 3AR, UK, Salford, Manchester, M50 3AR","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Clippers Quay offers an abundance of places for residents to visit while relaxing in their luxurious and spacious apartments.,980.0,1100.0,1500.0,,,['Manchester United Football Ground (MUF) | 0.4 mi'],Manchester
Constellation Mill,"Fenhurst Street, Oldham, Oldham, OL1 2QJ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']","Constellation Mill located in a lovely cul-de-sac, residents are offered family-friendly homes that are just a short distance away from the city centre.",,625.0,750.0,,,[],Manchester
Affinity Living Riverside,"32 Quay Street, Salford, Manchester, M3 5FZ","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parcel collection & storage']",Affinity Living Riverside gives residents the feel of an expensive lifestyle in the heart of Salford with amazing amenities and services,1150.0,1395.0,2200.0,995.0,,"['Salford Central | 0.1 mi', 'Deansgate | 0.6 mi']",Manchester
GreenGate,"New Bridge Street, Salford, Manchester, M3 7NL","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in Salford, GreenGate is an ideal choice for those in search of a long-term rental accommodation with top-class amenities and customer experience.",825.0,1149.0,1748.0,,,"['Manchester Victoria | 0.2 mi', 'Salford Central | 0.4 mi']",Manchester
Hall Moss Farm,"Crosslee Road, Manchester, Manchester, M9 6TG","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Hall Moss Farm offers residents houses and apartments that are perfect for peaceful canal-side setting and easy access to vibrant city atmosphere,,700.0,800.0,,,['Moston | 1.1 mi'],Manchester
